read_length_min,read_length_max_exclusive,per_base_error_rate,per_base_error_rate_5-95th_percentile,num_correct,num_error
0,10000,0.154201,0.149950~0.159128,500825,55867
10000,20000,0.148869,0.144932~0.153225,2060362,217423
20000,30000,0.151203,0.147267~0.155474,1095759,117953
30000,40000,0.148888,0.145152~0.152885,764568,80873
40000,50000,0.150579,0.146404~0.155197,306355,32731
50000,60000,0.155703,0.150549~0.161123,45550,5062
60000,70000,0.154124,0.137488~0.165923,3813,447
70000,80000,0.017358,0.000417~0.016160,112,15
